taken from https://www.bfs.admin.ch/bfs/de/home/statistiken/bevoelkerung/geburten-todesfaelle/vornamen-schweiz.assetdetail.5946318.html
Abdimajid	*	4
Abdimalik	*	10
Abdinaasir	*	3
Abdinasir	*	26
Abdiqani	*	10
Abdirahim	*	11
Abdirahin	*	4
Abdirahman	*	159
Abdiraim	*	3
Abdiraman	*	8
Abdirashid	*	28
Abdirazak	*	5
Abdirisaaq	*	4
Abdirisak	*	13
Abdirisaq	*	14
Abdirizak	*	23
Abdirizaq	*	4
Abdisalam	*	14
Abdisalan	*	9
Abdisamad	*	8
Abdishakur	*	14
Abdiwahab	*	4
Abdiwahid	*	4
Abdiwali	*	8
Abdo	*	17
Abdol	*	35
Abdolali	*	4
Abdolhamid	*	10
Abdolhossein	*	3
Abdolkarim	*	3
Abdollah	*	22
Abdolrahim	*	4
Abdolrahman	*	3
Abdolreza	*	10
Abdon	*	4
Abdou	*	73
Abdoukarim	*	3
Abdoul	*	71
Abdoulaye	*	125
Abdoulie	*	14
Abdoullah	*	7
Abdourahamane	*	8
Abdourahman	*	4
Abdourahmane	*	16
Abdu	*	53
Abdukadir	*	4
Abdul	*	616
Abdul-Hamid	*	4
Abdul-Karim	*	7
Abdul-Malik	*	3
Abdul-Rahman	*	4
Abdula	*	126
Abdulaahi	*	6
Abduladi	*	7
Abdulah	*	63
Abdulahad	*	7
Abdulahi	*	67
Abdulai	*	9
Abdulaki	*	3
Abdulakim	*	5
Abdulatif	*	9
Abdulazeez	*	3
Abdulaziz	*	72
Abdulbaki	*	5
Abdulbari	*	3
Abdulbaset	*	5
Abdulbesir	*	5
Abduldjemil	*	6
Abdule	*	3
Abdulezel	*	3
Abdulfatah	*	6
Abdulfet	*	3
Abdulfeta	*	3
Abdulgadir	*	3
Abdulgafur	*	4
Abdulgani	*	7
Abdulghani	*	8
Abdulhadi	*	14
Abdulhafiz	*	3
Abdulhakim	*	22
Abdulhalim	*	14
Abdulhamid	*	35
Abdulhamit	*	9
Abdulj	*	3
Abduljalil	*	4
Abdulkadar	*	9
Abdulkader	*	28
Abdulkadir	*	130
Abdulkadri	*	3
Abdulkahar	*	3
Abdulkareem	*	5
Abdulkarim	*	35
